identifier,title,description,prof,credits,sws,cycle,exam_type,condition
PHY-EP-1,Experimentalphysik 1,Die Lehrveranstaltung behandelt die Gebiete der Mechanik und der Thermodynamik. Sie ist mit den übrigen Modulen der Experimentalphysik sowie mit den 'Mathematischen Grundlagen' abgestimmt. Inhalte sind insbesondere: Kräfte und Newtonsche Axiome; Erhaltungsgrößen und -sätze (Energie; Impuls; Drehimpuls); Gravitation; Schwingungen und Wellen; Vielteilchensysteme; Hauptsätze der Thermodynamik,Schnieder,9,6,Jedes Wintersemester,Klausur ( 120 min) oder mündliche Prüfung (30 min),
PHY-EP-2,Experimentalphysik 2,Die Lehrveranstaltung behandelt die Elektrodynamik und Optik. Sie baut auf dem Modul 'Experimentalphysik 1' auf und ist mit den übrigen Modulen der Experimentalphysik sowie mit den 'Mathematischen Grundlagen' abgestimmt. Inhalte sind insbesondere: Elektrostatik;  Magnetostatik; Gleichströme; Wechselströme; Induktion; Schwingkreis; Elektromagnetische Wellen; Geometrische Optik; Wellenoptik. Um den Bedürfnissen der Lehramtsstudierenden im Hinblick auf deren zukünftiges berufliches Umfeld entgegenzukommen; wird angestrebt; die fachlichen Inhalte in übergreifende Kontexte einzubetten. Beispiel: Kommunikation -Funk- Fernsehen. ,Wollschläger ,9,6,Jedes Sommersemester,Klausur ( 120 min),
PHY-LP-1,Laborversuche zur Physik 1,Die Lehrveranstaltung führt in die Physik unter experimentell- praktischen Gesichtspunkten ein. Sie ist mit der 'Experimentalphysik 1' sowie mit den 'Laborversuchen zur Physik 2' und den 'Laborversuchen zur Physik 3' abgestimmt. Inhalte sind: Mechanik; Thermodynamik und Hydromechanik; Elektro- und Magnetostatik. ,Reichling,6,4,Jedes Wintersemester,9 bewertete Laborversuche mit Protokollen,
PHY-PL,Projektlabor zur Physik,Text- und Datenverarbeitung: Das Teilmodul vermittelt Grundkompetenzen zur Auswertung von Praktikumsversuchen und zur Erstellung von Praktikumsausarbeitungen. Die Schwerpunkte liegen dabei auf den beiden Computerprogrammen 'LaTeX' und 'MATLAB'; den im naturwissenschaftlich- mathematischen Bereich derzeit gebräuchlichsten Werkzeugen für diese Anwendungszwecke. Projektlabor zur Physik: Die Lehrveranstaltung führt in die Physik unter experimentell- praktischen Gesichtspunkten ein. Sie ist inhaltlich mit der 'Experimentalphysik 1' und mit der 'Experimentalphysik 2' abgestimmt. Inhalte sind ausgewählte Experimente aus den Bereichen Mechanik; Thermodynamik und Hydromechanik; Optik; Elektro- und Magnetostatik; Atom- ; Festkörper- und Kernphysik. Zum Teil werden diese Experimente von den Studierenden aus vorhandenen Einzelkomponenten selbständig aufgebaut.,Reyher,6,4,Jedes Sommersemester,6 bewertete Laborversuche mit Protokollen,
PHY-LP-2,Laborversuche zur Physik 2,Die Lehrveranstaltung führt in die Physik unter experimentell- praktischen Gesichtspunkten ein. Sie ist mit der 'Experimentalphysik 2' sowie mit den 'Laborversuchen zur Physik 1' und den 'Laborversuchen zur Physik 3' abgestimmt. Inhalte sind: Optik; Atom- ; Festkörper- und Kernphysik.,Reyher,6,4,Jedes Sommersemester,9 bewertete Laborversuche mit Protokollen,
PHY-TP-1,Theoretische Physik 1,Die Lehrveranstaltung führt in die Physik unter theoretischen Gesichtspunkten ein. Sie ist mit dem Modul 'Theoretische Physik 2' abgestimmt. Das Lehrmodul wird durch 'Mathematik für Physiker' unterstützt. Inhalte des Moduls sind Theoretische Mechanik nach Newton und Lagrange (ohne Hamilton- Mechanik); Spezielle Relativitätstheorie und Theoretische Elektrodynamik (Maxwell- Gleichungen; Elektrostatik; Magnetostatik; Wellen). ,Maass,9,6,Jedes Sommersemester,Klausur ( 120 min),
WIWI-B-01006-EC,Grundlagen der Mikroökonomik,Grundlagen der Mikroökonomik; insbesondere Theorie des Haushalts und der Unternehmung; Modell des allgemeinen Gleichgewichts; Anbieter- und Nachfrageverhalten in unterschiedlichen Marktformen.,Humphrey,10,5,Jedes Sommersemester,Klausur (120-150 Minuten),
WIWI-B-01011-EC,Grundlagen der Makroökonomik,Vermittelt Grundlagen der Makroökonomik,Dinger,10,4,Jedes Wintersemester,Klausur (120-150 Minuten),
WIWI-B-01013-EC,Wirtschafts-und Finanzpolitik,Grundlagen der Wirtschafts-und Finanzpolitik; z.B. der  Allokations-; Steuer-; und Sozialpolitik sowie der Stabilisierungs-und der internationalen Wirtschaftspolitik.,Gaube,5,3,Jedes Sommersemester,Klausur (60-90 Minuten),
WIWI-B-01014-ME,Einführung in die Ökonometrie,Grundlagen der Ökonometrie; insbesondere Regressionsanalyse.,Wilde,5,3,Jedes Sommersemester,Klausur (60-90 Minuten),
